,Транскрипция Infinitive,Past Simple,Транскрипция Past Simple,Past Participal,Транскрипция Past Participal,Русский,Испанский,Китайский,Французский
shrive,[ʃraɪv],"shrove, shrived","[ʃroʊv], [ʃraɪvd]","shriven, shrived","[ˈʃrɪvn], [ʃraɪvd] ",исповедовать,confesar,信仰,
shut,[ʃʌt] ,shut,[ʃʌt] ,shut,[ʃʌt] ,закрывать,cerrar,关闭,
sing,[sɪŋ] ,sang,[sæŋ] ,sung,[sʌŋ] ,петь,canta,唱,
sink,[sɪŋk] ,sank,[sæŋk] ,sunk,[sʌŋk] ,"опускаться, погружаться, тонуть",lavabo,水槽,
sit,[sɪt] ,sat,[sæt] ,sat,[sæt] ,сидеть,sentar,坐,
slay,[sleɪ] ,slew,[sluː],slain,[sleɪn] ,убивать,matar,杀,
sleep,[sliːp],slept,[slɛpt] ,slept,[slɛpt] ,спать,dormir,睡觉,
slide,[slaɪd] ,slid,[slɪd] ,slid,[slɪd] ,скользить,diapositiva,滑,
sling,[slɪŋ] ,slung,[slʌŋ] ,slung,[slʌŋ] ,"швырять, подвешивать",honda,挂上,
slink,[slɪŋk],slunk,[slʌŋk],slunk,[slʌŋk] ,идти крадучись,escabullirse,潜步,
slit,[slɪt] ,slit,[slɪt] ,slit,[slɪt] ,"раздирать(ся), разрезать (вдоль)",abertura,切,
smell,[smɛl] ,"smelt, smelled","[smɛlt], [smɛld] ","smelt, smelled","[smɛlt], [smɛld] ","пахнуть, нюхать",oler,闻,
smite,[smaɪt],smote,[smoʊt],smitten,[ˈsmɪtn] ,"ударять, разбивать",herir,击球,
sow,[soʊ] ,sowed,[soʊd],"sowed, sown","[səʊd], [səʊn] ",(по)сеять,sembrar,播种,
speak,[spiːk],spoke,[spoʊk] ,spoken,[ˈspoʊkən],говорить,hablar,说话,
speed,[spiːd],"sped, speeded","[spɛd], [ˈspiːdɪd]","sped, speeded","[spɛd], [ˈspiːdɪd] ","ускорять, спешить",velocidad,加速,
spell,[spɛl] ,"spelt, spelled","[spɛlt], [spɛld]","spelt, spelled","[spɛlt], [spɛld]",писать или читать по буквам,deletrear,拼写,
spend,[spɛnd] ,spent,[spɛnt] ,spent,[spɛnt] ,тратить,gastar,花,
spill,[spɪl] ,"spilt, spilled","[spɪlt], [spɪld] ","spilt, spilled","[ˈspɪlt], [spɪld] ",проливать,derramar,洒,
spin,[spɪn] ,"spun, span","[spʌn], [spæn] ",spun,[spʌn] ,прясть,girar,纺,
spit,[spɪt] ,"spat, spit","[spæt], [spɪt] ","spat, spit","[spæt], [spɪt] ",плевать,escupir,吐,
split,[splɪt] ,split,[splɪt] ,split,[splɪt] ,расщепить(ся),división,裂开,
spoil,[spɔɪl] ,"spoilt, spoiled","[spɔɪlt], [spɔːɪld]","spoilt, spoiled","[spɔɪlt], [spɔːɪld] ",портить,mimar,溺爱,
spotlight,[ˈspɑːtlaɪt],"spotlit, spotlighted","[ˈspɑːtlɪt], [ˈspɑːtlaɪtid]","spotlit, spotlighted","[ˈspɑːtlɪt], [ˈspɑːtlaɪtid]",осветить,destacar,照亮 ,
spread,[sprɛd] ,spread,[sprɛd] ,spread,[sprɛd] ,распространиться,untado,传播,
spring,[ˈsprɪŋ],sprang,[spræŋ] ,sprung,[sprʌŋ] ,"вскочить, возникнуть",primavera,跳,
stand,[stænd] ,stood,[stʊd] ,stood,[stʊd] ,стоять,estar,站,
stave,[steɪv] ,"staved, stove","[steɪvd], [stoʊv] ","staved, stove","[steɪvd], [stoʊv]","проламывать, разби(ва)ть",duela,打破,
steal,[stiːl],stole,[stoʊl] ,stolen,[ˈstoʊlən],красть,robar,偷,
stick,[stɪk] ,stuck,[stʌk] ,stuck,[stʌk] ,"уколоть, приклеить",palo,棒,
sting,[stɪŋ] ,stung,[stʌŋ] ,stung,[stʌŋ] ,жалить,picadura,刺,
stink,[stɪŋk] ,"stank, stunk","[stæŋk], [stʌŋk] ",stunk,[stʌŋk] ,вонять,hedor,臭,
strew,[struː],strewed,[ˈstruːd],"strewn, strewed","[struːn], [struːd] ","усеять, устлать",esparcir,播种上,
stride,[straɪd] ,strode,[stroʊd] ,stridden,[ˈstrɪdn] ,"шагать, наносить удар",paso,游行,
strike,[straɪk] ,struck,[strʌk] ,struck,[strʌk] ,"ударить, бить, бастовать",Huelga,罢,
string,[strɪŋ] ,strung,[strʌŋ] ,strung,[strʌŋ] ,"нанизать, натянуть",cuerda,串成,
strive,[straɪv] ,strove,[stroʊv] ,striven,[ˈstrɪvən],стараться,esforzarse,努力,
sublet,[ˌsʌbˈlet],sublet,[ˌsʌbˈlet],sublet,[ˌsʌbˈlet],передавать в субаренду,subarrendar,转租,
swear,[swɛr] ,swore,[swɔːr],sworn,[swɔːrn],"(по)клясться, присягнуть",jurar,发誓,
sweep,[swiːp],swept,[swɛpt] ,swept,[swɛpt] ,"мести, промчаться",barrer,疾驰过去,
swell,[swɛl] ,swelled,[ˈsweld],"swollen, swelled","[ˈswoʊlən], [swɛld]",разбухать,hinchar,膨胀,
swim,[swɪm] ,swam,[swæm] ,swum,[swʌm] ,плавать,nadar,游泳,
swing,[swɪŋ] ,swung,[swʌŋ] ,swung,[swʌŋ] ,качаться,oscilación,摆动,
take,[teɪk] ,took,[tʊk] ,taken,[ˈteɪkən] ,"взять, брать",tomar,拿,
teach,[tiːtʃ],taught,[tɔːt],taught,[tɔːt] ,учить,enseñar,教,
tear,[tɛr] ,tore,[tɔːr],torn,[tɔːrn],рвать,lágrima,拔,
tell,[tɛl] ,told,[toʊld] ,told,[toʊld],"рассказывать, сказать",contar,告诉,
think,[θɪŋk] ,thought,[θɔːt],thought,[θɔːt] ,думать,pensar,想,
thrive,[θraɪv] ,"throve, trived",[θroʊv],"thriven, trived",[ˈθrɪvən],процветать,prosperar,繁荣,
throw,[θroʊ] ,threw,[θruː],thrown,[θroʊn],бросить,lanzar,扔,
thrust,[θrʌst] ,thrust,[θrʌst] ,thrust,[θrʌst] ,"толкнуть, сунуть",empuje,推,
tread,[trɛd] ,trod,[trɑd] ,"trod, trodden","[trɒd], [ˈtrɒdn] ",ступать,huella,踏,
unbend,[ˌʌnˈbɛnd] ,unbent,[ʌnˈbɛnt] ,unbent,[ʌnˈbɛnt] ,разогнуть(ся),enderezar,伸直,
underbid,[ˈʌndərˌbɪd] ,underbid,[ˈʌndərˌbɪd] ,underbid,[ˈʌndərˌbɪd],снижать цену,ofrecer menos de lo que vale,降价,
undercut,[ˌʌndərˈkʌt],undercut,[ˌʌndərˈkʌt],undercut,[ˌʌndərˈkʌt],сбивать цены,vender a menor precio que,讨价还价,
undergo,[ˌʌndərˈgoʊ] ,underwent,[ˌʌndərˈwɛnt] ,undergone,[ˌʌndərˈɡɒn],"проходить, подвергаться",someterse,经历,
underlie,[ˌʌndərˈlaɪ] ,underlay,[ˌʌndərˈleɪ],underlain,[ˌʌndərˈleɪn],лежать в основе,estar debajo de,背后,
underpay,[ˌʌndərˈpeɪ] ,underpaid,[ˈʌndərˈpeɪd] ,underpaid,[ˈʌndərˈpeɪd],оплачивать слишком низко,underpay,付钱太低了,
undersell,[ˈʌndərˌsɛl] ,undersold,[ˌʌndərˈsoʊld],undersold,[ˌʌndərˈsoʊld],продавать дешевле,malvender,卖便宜,
understand,[ˌʌndərˈstænd] ,understood,[ˌʌndərˈstʊd] ,understood,[ˌʌndərˈstʊd],понимать,entender,了解,
undertake,[ˈʌndərˌteɪk] ,undertook,[ˌʌndərˈtʊk] ,undertaken,[ˌʌndərˈteɪkən],предпринять,emprender,取,
underwrite,[ˈʌndərˌraɪt] ,underwrote,[ˌʌndərˈroʊt] ,underwritten,[ˈʌndərˌrɪtən],подписыва(ть)ся,suscribir,签名,
undo,[ʌnˈduː],undid,[ʌnˈdɪd],undone,[ʌnˈdʌn] ,уничтожать сделанное,deshacer,解开,
unfreeze,[ˌʌnˈfriːz],unfroze,[ʌnˈfroʊz] ,unfrozen,[ʌnˈfroʊzn],размораживать,descongelar,除霜,
unsay,[ʌnˈseɪ] ,unsaid,[ʌnˈsɛd],unsaid,[ʌnˈsɛd] ,брать назад свои слова,retractarse,收回话,
unwind,[ˌʌnˈwaɪnd],unwound,[ˌʌnˈwaʊnd],unwound,[ʌnˈwaʊnd] ,развертывать,relajarse,铺开,
uphold,[ʌpˈhoʊld],upheld,[ˌʌpˈheld],upheld,[ʌpˈhɛld] ,поддерживать,defender,支持,
upset,[ˈʌpˌsɛt],upset,[ˈʌpˌsɛt],upset,[ʌpˈsɛt] ,опрокинуть(ся),trastornado,推倒,
wake,[weɪk] ,"woke, waked","[woʊk], [weɪkt] ","woken, waked","[ˈwoʊkən], [weɪkt]","просыпаться, будить",despertar,醒,
waylay,[ˈweɪˌleɪ] ,waylaid,[ˈweɪˌleɪd] ,waylaid,[ˈweɪˌleɪd],подстерегать,acechar,伏击,
wear,[wɛr] ,wore,[wɔːr],worn,[wɔːrn],носить (одежду),vestir,穿,
weave,[wiːv],"wove, weaved","[ˈwoʊv], [wiːvd]","woven, weaved","[ˈwoʊvn], [wiːvd]",ткать,tejido,编织,
wed,[wɛd] ,"wed, wedded","[wɛd], [ˈwɛdəd] ","wed, wedded","[wɛd], [ˈwɛdɪd] ",выдавать замуж,casarse,结婚,
weep,[wiːp],wept,[wɛpt] ,wept,[wɛpt] ,плакать,llorar,哭,
wet,[wɛt] ,"wet, wetted","[wɛt], [ˈwɛtɪd] ","wet, wetted","[wɛt], [ˈwɛtɪd] ","мочить, увлажнять",mojado,滋润,
win,[wɪn] ,won,[wʌn] ,won,[wʌn] ,выигрывать,ganar,赢,
wind,[wɪnd] ,winded,[ˈwɪndɪd],winded,[ˈwɪndɪd],заводить (механизм),viento,厂,
withdraw,[wɪðˈdrɔː],withdrew,[wɪðˈdruː],withdrawn,[wɪðˈdrɔːn] ,"взять назад, отозвать",retirar,拿回来,
withhold,[wɪðˈhoʊld],withheld,[wɪθˈhɛld] ,withheld,[ˌwɪθˈheld],удерживать,retener,拿得住,
withstand,[wɪθˈstænd] ,withstood,[wɪθˈstʊd] ,withstood,[wɪðˈstʊd] ,противиться,resistir a,抵制,
work,[wɜːrk],"worked, wrought","[wɜrkt], [rɔt] ","worked, wrought","[wɜːkt], [rɔːt] ",работать,trabajo,工作,
wring,[rɪŋ] ,wrung,[rʌŋ] ,wrung,[rʌŋ] ,"скрутить, сжать",exprimir,拧,
write,[raɪt],wrote,[roʊt],written,[ˈrɪtn],писать,escribir,写,
